▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.0.25:3001
- Environments: .env.local
✓ Ready in 607ms

⚠ metadataBase property in metadata export is not set for resolving social open graph or twitter images, using "http://localhost:3001". See https://nextjs.org/docs/app/api-reference/functions/generate-metadata#metadatabase
 GET /en/champions/Norra 200 in 140ms (next.js: 16ms, proxy.ts: 5ms, application-code: 119ms)
 GET /ja/patches?q=Norra 200 in 114ms (next.js: 15ms, proxy.ts: 6ms, application-code: 93ms)
 GET /en/calculator 200 in 107ms (next.js: 14ms, proxy.ts: 5ms, application-code: 89ms)
 GET /en/champions 200 in 282ms (next.js: 13ms, proxy.ts: 5ms, application-code: 265ms)
 GET /ja/champions 200 in 272ms (next.js: 6ms, proxy.ts: 6ms, application-code: 260ms)
 GET /ja 200 in 119ms (next.js: 16ms, proxy.ts: 6ms, application-code: 97ms)
 GET /en 200 in 90ms (next.js: 7ms, proxy.ts: 5ms, application-code: 78ms)
 GET /ja/champions 200 in 256ms (next.js: 14ms, proxy.ts: 5ms, application-code: 237ms)
 GET /en/patches 200 in 94ms (next.js: 12ms, proxy.ts: 6ms, application-code: 76ms)
 GET /ja/calculator 200 in 102ms (next.js: 12ms, proxy.ts: 5ms, application-code: 85ms)
 GET /en/champions/Garen 200 in 119ms (next.js: 20ms, proxy.ts: 7ms, application-code: 91ms)
 GET /ja/champions/Garen 200 in 97ms (next.js: 6ms, proxy.ts: 5ms, application-code: 86ms)
 GET /ja 200 in 97ms (next.js: 12ms, proxy.ts: 5ms, application-code: 81ms)
